month,strategy_return
2018-01,0.0
2018-02,0.0
2018-03,0.0
2018-04,0.0
2018-05,0.0
2018-06,0.0
2018-07,0.0
2018-08,0.0
2018-09,0.0
2018-10,0.0
2018-11,0.0
2018-12,0.0
2019-01,0.0
2019-02,0.0
2019-03,0.0
2019-04,0.0
2019-05,0.0
2019-06,0.0
2019-07,0.0
2019-08,0.0
2019-09,0.0
2019-10,0.0
2019-11,0.0
2019-12,0.0
2020-01,0.0
2020-02,0.0
2020-03,0.0
2020-04,0.0
2020-05,0.0
2020-06,0.0
2020-07,0.0
2020-08,0.0
2020-09,0.0
2020-10,0.0
2020-11,0.0
2020-12,0.0
2021-01,0.0
2021-02,0.0
2021-03,0.030033663052114523
2021-04,0.0997615883651366
2021-05,0.10327637225416608
2021-06,0.1341823463186822
2021-07,0.0
2021-08,0.0
2021-09,0.0
2021-10,0.0
2021-11,0.04102760159348806
2021-12,-0.045587572891309325
2022-01,-0.07133841051403067
2022-02,0.02788390943996988
2022-03,-0.054027035610648255
2022-04,-0.13432319200722942
2022-05,-0.02405117487785513
2022-06,0.17772343853849848
2022-07,0.06939891460717651
2022-08,-0.009401180871906889
2022-09,-0.0868164288486587
2022-10,0.0012915436208138509
2022-11,-0.04701990053182192
2022-12,0.018127203666346237
2023-01,0.06264876351176119
2023-02,-0.018608708983855915
2023-03,-0.0042529723505202455
2023-04,-0.05322167884958351
2023-05,-0.008881256817940497
2023-06,-0.008516809834241856
2023-07,-0.12380798904296575
2023-08,-0.09193030814587666
2023-09,-0.09955549016386933
2023-10,-0.08940756735082234
2023-11,0.0495965505529421
2023-12,-0.03667236947070751
2024-01,-0.006248385563700332
2024-02,0.11260725137544725
2024-03,-0.003505984385868577
2024-04,0.042335702696119526
2024-05,-0.03587518127937939
2024-06,-0.007576766341148233
2024-07,-0.04585364996619001
2024-08,-0.07584083270026187
2024-09,0.10872756567361996
2024-10,0.0
2024-11,0.0
2024-12,0.0
2025-01,0.004594283114579323
2025-02,-0.002490444774856382
2025-03,0.01852173226854359
2025-04,-0.000475865170322054
2025-05,0.0
2025-06,0.0
2025-07,-0.007644699793713627
2025-08,0.0046939239101841945
2025-09,0.11749739209294785
2025-10,-0.006756675271305745
2025-11,-0.041425838141296745
2025-12,0.019217239143274112
2026-01,0.14937613159346497
2026-02,0.0
2026-03,0.0
2026-04,-0.033499787564519545
2026-05,0.007542066016504201
2026-06,-0.01723127553804238
