strategy_name,entry_date,entry_price,entry_index,entry_position,exit_date,exit_price,holding_days,trade_return,max_adverse_return,max_favorable_return
ma_60_120,2018-07-03,10.62,120,1.0,2018-07-06,10.19,3,-0.042955175202491036,-0.05273069679849329,0.0555555555555558
ma_60_120,2018-07-09,10.46,124,1.0,2018-07-20,11.99,9,0.14332494371614213,0.0019120458891013214,0.20554493307839383
ma_60_120,2019-03-04,12.04,281,1.0,2019-03-27,11.91,17,-0.013367844651162808,-0.03156146179401986,0.16196013289036548
ma_60_120,2019-03-28,11.66,299,1.0,2019-04-26,10.33,20,-0.11636612346366215,-0.10463121783876506,0.08662092624356776
ma_60_120,2019-04-29,10.49,320,1.0,2019-05-07,9.2,3,-0.12525060477694594,-0.14394661582459478,0.0057197330791229906
ma_60_120,2019-05-08,8.61,324,1.0,2019-07-05,10.24,41,0.18627833703666097,0.05691056910569103,0.2694541231126597
ma_60_120,2019-09-10,12.45,412,1.0,2019-11-26,11.19,49,-0.10356115361067386,-0.11164658634538138,0.07791164658634542
ma_60_120,2019-11-27,11.06,462,1.0,2020-02-04,15.59,42,0.4059451053191445,0.0244122965641953,0.721518987341772
ma_60_120,2020-02-05,17.14,505,1.0,2020-03-02,22.46,18,0.30696759552465314,0.008751458576429227,0.5460910151691949
ma_60_120,2020-03-03,22.4,524,1.0,2020-03-10,19.53,5,-0.13043037673666835,-0.13794642857142858,-0.02678571428571419
ma_60_120,2020-03-11,20.94,530,1.0,2020-03-25,19.58,10,-0.06744535271751417,-0.09933142311365817,0.09169054441260727
ma_60_120,2020-03-26,19.75,541,1.0,2020-04-01,16.93,4,-0.14501898462581875,-0.14430379746835453,-0.03037974683544309
ma_60_120,2020-04-02,17.07,546,1.0,2020-07-06,23.79,61,0.3901195187912323,0.007029876977152849,0.4674868189806678
ma_60_120,2020-07-07,25.05,608,1.0,2020-07-17,22.31,8,-0.11169442995822643,-0.13932135728542927,0.0850299401197605
ma_60_120,2020-07-20,21.98,617,1.0,2020-10-21,28.63,61,0.29919021294554193,-0.032302092811646976,0.469972702456779
