label,non_null,positive_rate,mean,p05,p95
y_good_trade_60d,1984,0.3160282258064516,0.3160282258064516,0.0,1.0
y_bad_trade_60d,1984,0.5065524193548387,0.5065524193548387,0.0,1.0
y_trend_continue_60d,1984,0.34173387096774194,0.34173387096774194,0.0,1.0
y_stop_loss_hit_60d,1984,0.5725806451612904,0.5725806451612904,0.0,1.0
y_take_profit_before_stop_60d,1984,0.3387096774193548,0.3387096774193548,0.0,1.0
y_large_drawdown_60d,1984,0.4657258064516129,0.4657258064516129,0.0,1.0
y_high_vol_next_60d,1984,0.21068548387096775,0.21068548387096775,0.0,1.0
y_risk_event_60d,1984,0.5398185483870968,0.5398185483870968,0.0,1.0
y_limit_down_next_60d,1984,0.0,0.0,0.0,0.0
y_untradable_next_60d,1984,0.0,0.0,0.0,0.0
y_gap_down_next_60d,1984,0.5241935483870968,0.5241935483870968,0.0,1.0
y_crash_5d,2039,0.17851888180480627,0.17851888180480627,0.0,1.0
y_crash_20d,2024,0.3221343873517787,0.3221343873517787,0.0,1.0
