baseline,portfolio,total_return,annual_return,annual_volatility,sharpe,sortino,calmar,max_drawdown,win_rate,profit_loss_ratio,trade_count,avg_holding_days,turnover,single_period_max_loss,max_consecutive_losses,excess_total_return,excess_vs_buy_hold
empty_no_trade,strategy,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,-0.9804989084171211,-2.3114754098360817
ma_20_60,strategy,0.5280842537648867,0.05366630450607901,0.4228736698267931,0.12690859785160058,0.1461662516647125,0.0926778081354044,-0.5790631607047861,0.46130952380952384,1.2686215103145846,103.0,18.51923076923077,103.0,-0.16675690308608548,9.0,-0.8720328438034917,-1.783391156071195
ma_60_120,strategy,2.7462396107266382,0.1768395621874217,0.41279718845943036,0.4283933300209516,0.5098602349350854,0.3364155469183909,-0.5256581148145338,0.4803370786516854,1.2484441321211524,77.0,26.58974358974359,77.0,-0.16675690308608548,9.0,-0.707138102995219,0.43476420089055656
momentum_20,strategy,2.5335132546390984,0.16838811453072267,0.44987920297307243,0.37429628535374093,0.4748475374525748,0.25954032572346214,-0.6487936472351455,0.44140969162995597,1.4565090304095352,208.0,9.990384615384615,208.0,-0.16675690308608548,9.0,-0.6381174756807866,0.2220378448030167
volatility_filter,strategy,-0.5417572957188233,-0.09172520871216894,0.2878086563868595,-0.3187020497009514,-0.28475465862858285,-0.13078910298855226,-0.7013214909822991,0.41323529411764703,1.3354527870642852,162.0,7.419753086419753,162.0,-0.1547162112932606,12.0,-0.9824597067528954,-2.853232705554905
