portfolio,total_return,annual_return,annual_volatility,sharpe,sortino,calmar,max_drawdown,win_rate,profit_loss_ratio,trade_count,avg_holding_days,turnover,single_period_max_loss,max_consecutive_losses,excess_total_return,excess_vs_buy_hold,scenario,beats_buy_hold,days
strategy,0.03366019976630863,0.004089914340494216,0.17345425589992136,0.023579210087840054,0.022842708197927563,0.008002719101090296,-0.5110655876871903,0.39895697522816165,1.5587624811600023,279.0,3.419512195121951,113.5,-0.08307264511644075,9.0,-0.9707048363111207,-2.277815210069773,cost_scale_0.5,False,2044
strategy,-0.012210024042341505,-0.0015134646371377514,0.1734406190870713,-0.008726125662512518,-0.008468353890341259,-0.00288012720583255,-0.5254853445614596,0.39765319426336376,1.5515655481564068,279.0,3.419512195121951,113.5,-0.08307264511644075,9.0,-0.9720101032680729,-2.323685433878423,cost_scale_1,False,2044
strategy,-0.09795807145395385,-0.012629819080173466,0.17343004500420134,-0.07282370871706519,-0.07093229780938023,-0.022835839633845223,-0.5530700549085432,0.39374185136897,1.5458791788325301,279.0,3.419512195121951,113.5,-0.08307264511644075,15.0,-0.9744494413678576,-2.4094334812900353,cost_scale_2,False,2044
strategy,-0.17629168585432475,-0.023626677304921184,0.17344173947885955,-0.1362225573608306,-0.1330915281857916,-0.040801648032860245,-0.579061838038823,0.3924380704041721,1.5237509634956425,279.0,3.419512195121951,113.5,-0.08307264511644075,15.0,-0.9766770229786356,-2.4877670956904065,cost_scale_3,False,2044
strategy,0.4090923301559055,0.043187556652115155,0.18543179750210137,0.23290264794863857,0.25221914646276,0.10791696427360362,-0.4001924715248758,0.4010416666666667,1.6552437021672484,279.0,3.4146341463414633,113.5,-0.08307264511644075,10.0,-0.957154298215037,-1.9023830796801762,delay_one_day,False,2044
strategy,0.3098066465125846,0.03383254946764391,0.10894863873643108,0.3105366882966912,0.22651178670349786,0.19696076465655601,-0.1717730408218019,0.3307291666666667,2.4279030567532747,262.0,1.8211920529801324,137.0,-0.07094192139737995,13.0,-0.9697271491959163,-2.0016687633234973,high_liquidity_only,False,2044
strategy,0.06644361211881233,0.007962553996723187,0.17272210683314976,0.04610037558431965,0.04399731637245254,0.015303626222336076,-0.5203050493419406,0.4032258064516129,1.542578785729161,266.0,3.4619289340101522,111.5,-0.08307264511644075,10.0,-0.9699463232141127,-2.245031797717269,signal_score_min_-0.25,False,2044
strategy,-0.0033079098464937617,-0.00040841709119754377,0.1718005757695346,-0.0023772742865857633,-0.0022349606326091346,-0.0007774023108381589,-0.5253613032835052,0.40333796940194716,1.5188739658141075,259.0,3.4196891191709846,110.0,-0.08307264511644075,10.0,-0.9720387914824385,-2.3147833196825753,signal_score_min_0,False,2044
strategy,0.13443366834847215,0.015672253886676035,0.17030795457957706,0.09202302925523724,0.08397231549679719,0.029524969756629854,-0.5308135458176657,0.4155653450807636,1.489464886922185,241.0,3.4505494505494507,105.0,-0.08307264511644075,11.0,-0.9684943462210199,-2.1770417414876095,signal_score_min_0.25,False,2044
strategy,-0.012210024042341505,-0.0017174934620657334,0.1847709566047332,-0.009295256644364513,-0.009609965164845965,-0.003268394599090212,-0.5254853445614596,0.39765319426336376,1.5515655481564068,279.0,3.419512195121951,113.5,-0.08307264511644075,9.0,-0.9752131306904354,-5.215147273708551,start_2019,False,1801
strategy,-0.012210024042341505,-0.001986377170231979,0.19872172045772657,-0.009995772810625069,-0.011114461761743829,-0.0037800810066162685,-0.5254853445614596,0.39765319426336376,1.5515655481564068,279.0,3.419512195121951,113.5,-0.08307264511644075,9.0,-0.9348903047289938,-2.3426759738631304,start_2020,False,1557
strategy,-0.012210024042341505,-0.002353288347675897,0.2163170281565978,-0.010878886270443247,-0.013167455680910038,-0.00447831394734675,-0.5254853445614596,0.39765319426336376,1.5515655481564068,279.0,3.419512195121951,113.5,-0.08307264511644075,9.0,-0.7854872742051608,-0.563462110853689,start_2021,False,1314
strategy,-0.2979950735646838,-0.07987942215405985,0.225648411571639,-0.35399948795429337,-0.4326964924226741,-0.15505407488638176,-0.5151713827101463,0.3907185628742515,1.464826725828379,240.0,3.48,96.5,-0.08307264511644075,9.0,-0.5683239339918339,-0.032889094444153666,start_2022,False,1071
strategy,-0.1914159288461067,-0.06254541792998314,0.18659136637995144,-0.3351999566937274,-0.4109156300145086,-0.1307246054494768,-0.4784517628867968,0.375,1.5539689285469855,186.0,3.0,70.0,-0.08307264511644075,9.0,-0.46811251535074627,0.05313691668234832,start_2023,True,829
