horizon,observations,pearson_ic,spearman_ic,rmse,direction_accuracy,prob_accuracy
1,1287,0.008915642725365998,0.029457182293518784,0.03372527525625889,0.48329448329448327,0.4902874902874903
3,1285,0.06988452141725394,0.08620566832997235,0.061852835839090105,0.5089494163424124,0.511284046692607
5,1283,0.057417065184132775,0.10045111078378981,0.08279253769354725,0.5113016367887763,0.5066250974279034
10,1278,0.08159031962789222,0.15799902289601464,0.12203000652042352,0.5453834115805947,0.5375586854460094
20,1268,0.10344911112267943,0.14385735385344456,0.1886668794473068,0.5630914826498423,0.5646687697160884
60,1228,0.11010931298299208,0.14172123191644426,0.2949672117319637,0.5822475570032574,0.499185667752443
