split,horizon,train_start,train_end,test_start,test_end,train_rows,test_rows,selected_feature_count,selected_features,top_train_feature,sklearn_available,sklearn_error
15,3,2018-01-02,2024-08-29,2024-10-08,2025-01-03,1618,63,40,"downside_vol_20d,atr_pct_14d,volatility_20d,downside_vol_5d,downside_vol_10d,intraday_range,high_low_range_20d,downside_vol_60d,adx_14d,volatility_10d,max_drawdown_20d,ma_slope_5d,volatility_5d,max_drawdown_5d,max_drawdown_10d,dist_to_high_20d,volume_ratio_60d,log_ret_5d,price_volume_divergence_20d,turnover_ratio_20d",downside_vol_20d,False,disabled
15,5,2018-01-02,2024-08-29,2024-10-08,2025-01-03,1618,63,40,"downside_vol_20d,atr_pct_14d,adx_14d,downside_vol_10d,downside_vol_5d,high_low_range_20d,volatility_20d,downside_vol_60d,max_drawdown_5d,volatility_10d,intraday_range,volatility_5d,price_volume_divergence_20d,max_drawdown_10d,max_drawdown_20d,dist_to_high_20d,volume_ratio_60d,ret_5d,turnover_ratio_20d,atr_14d",downside_vol_20d,False,disabled
15,10,2018-01-02,2024-08-29,2024-10-08,2025-01-03,1618,63,40,"adx_14d,downside_vol_20d,downside_vol_10d,high_low_range_20d,volatility_10d,atr_pct_14d,intraday_range,volatility_20d,volatility_5d,downside_vol_5d,turnover_ratio_20d,downside_vol_60d,volume_ratio_60d,dist_to_low_20d,price_volume_divergence_20d,dist_to_low_120d,max_drawdown_10d,atr_14d,max_drawdown_5d,max_drawdown_60d",adx_14d,False,disabled
15,20,2018-01-02,2024-08-29,2024-10-08,2025-01-03,1618,63,40,"adx_14d,high_low_range_20d,downside_vol_20d,downside_vol_10d,atr_pct_14d,volatility_5d,downside_vol_60d,volatility_10d,price_volume_divergence_20d,atr_14d,intraday_range,downside_vol_5d,volatility_20d,dist_to_low_120d,turnover_ratio_20d,ma_gap_120d,dist_to_low_20d,dist_to_high_20d,ma_slope_120d,max_drawdown_20d",adx_14d,False,disabled
16,1,2018-01-02,2024-12-05,2025-01-06,2025-04-11,1681,63,40,"downside_vol_20d,max_drawdown_20d,ma_slope_5d,volume_ratio_5d,atr_pct_14d,intraday_range,dist_to_high_20d,volatility_20d,high_low_range_20d,downside_vol_60d,ma_gap_10d,max_drawdown_10d,ma_gap_60d,adx_14d,dist_to_high_60d,turnover_ratio_20d,downside_vol_10d,ma_slope_20d,max_drawdown_60d,dist_to_low_60d",downside_vol_20d,False,disabled
16,3,2018-01-02,2024-12-05,2025-01-06,2025-04-11,1681,63,40,"downside_vol_20d,atr_pct_14d,downside_vol_5d,downside_vol_10d,volatility_20d,intraday_range,downside_vol_60d,ma_slope_5d,high_low_range_20d,adx_14d,volatility_10d,max_drawdown_20d,ret_5d,max_drawdown_10d,volume_ratio_60d,dist_to_high_20d,max_drawdown_5d,volume_ratio_5d,volatility_5d,atr_14d",downside_vol_20d,False,disabled
16,5,2018-01-02,2024-12-05,2025-01-06,2025-04-11,1681,63,40,"downside_vol_20d,downside_vol_5d,downside_vol_10d,atr_pct_14d,adx_14d,max_drawdown_5d,high_low_range_20d,volatility_20d,downside_vol_60d,volatility_10d,volatility_5d,intraday_range,max_drawdown_10d,dist_to_high_20d,log_ret_5d,max_drawdown_20d,price_volume_divergence_20d,ma_gap_5d,max_drawdown_60d,volume_ratio_60d",downside_vol_20d,False,disabled
16,10,2018-01-02,2024-12-05,2025-01-06,2025-04-11,1681,63,40,"adx_14d,downside_vol_20d,downside_vol_10d,high_low_range_20d,volatility_10d,downside_vol_5d,atr_pct_14d,volatility_5d,intraday_range,turnover_ratio_20d,volatility_20d,volume_ratio_60d,downside_vol_60d,dist_to_low_20d,price_volume_divergence_20d,atr_14d,max_drawdown_60d,max_drawdown_10d,ma_slope_20d,dist_to_high_20d",adx_14d,False,disabled
16,20,2018-01-02,2024-12-05,2025-01-06,2025-04-11,1681,63,40,"adx_14d,high_low_range_20d,downside_vol_20d,price_volume_divergence_20d,atr_14d,downside_vol_10d,volatility_5d,downside_vol_5d,volatility_10d,downside_vol_60d,atr_pct_14d,intraday_range,turnover_ratio_20d,ma_slope_20d,dist_to_high_20d,max_drawdown_60d,max_drawdown_20d,volatility_20d,log_ret_20d,ma_gap_60d",adx_14d,False,disabled
17,1,2018-01-02,2025-03-13,2025-04-14,2025-07-15,1744,63,40,"downside_vol_20d,ma_slope_5d,max_drawdown_20d,atr_pct_14d,volume_ratio_5d,intraday_range,dist_to_high_20d,high_low_range_20d,adx_14d,volatility_20d,max_drawdown_10d,ma_gap_60d,rsi_6d,log_ret_5d,max_drawdown_60d,dist_to_low_60d,downside_vol_60d,dist_to_high_60d,log_ret_60d,downside_vol_10d",downside_vol_20d,False,disabled
17,3,2018-01-02,2025-03-13,2025-04-14,2025-07-15,1744,63,40,"downside_vol_20d,atr_pct_14d,downside_vol_5d,downside_vol_10d,volatility_20d,intraday_range,adx_14d,ma_slope_5d,high_low_range_20d,downside_vol_60d,volatility_10d,max_drawdown_10d,log_ret_5d,max_drawdown_20d,volume_ratio_60d,dist_to_high_20d,max_drawdown_60d,volume_ratio_5d,max_drawdown_5d,atr_14d",downside_vol_20d,False,disabled
17,5,2018-01-02,2025-03-13,2025-04-14,2025-07-15,1744,63,40,"downside_vol_20d,adx_14d,downside_vol_5d,atr_pct_14d,downside_vol_10d,max_drawdown_5d,high_low_range_20d,volatility_20d,volatility_10d,max_drawdown_10d,volatility_5d,downside_vol_60d,intraday_range,log_ret_5d,amount_chg_5d,dist_to_high_20d,max_drawdown_60d,price_volume_divergence_20d,max_drawdown_20d,ma_gap_5d",downside_vol_20d,False,disabled
17,10,2018-01-02,2025-03-13,2025-04-14,2025-07-15,1744,63,40,"adx_14d,downside_vol_20d,high_low_range_20d,downside_vol_10d,volatility_10d,atr_pct_14d,downside_vol_5d,intraday_range,volatility_5d,volume_ratio_60d,turnover_ratio_20d,volatility_20d,max_drawdown_60d,dist_to_low_20d,downside_vol_60d,max_drawdown_10d,atr_14d,price_volume_divergence_20d,max_drawdown_5d,dist_to_high_20d",adx_14d,False,disabled
17,20,2018-01-02,2025-03-13,2025-04-14,2025-07-15,1744,63,40,"adx_14d,high_low_range_20d,downside_vol_20d,downside_vol_10d,price_volume_divergence_20d,atr_14d,volatility_5d,volatility_10d,atr_pct_14d,downside_vol_5d,max_drawdown_60d,downside_vol_60d,intraday_range,ma_slope_20d,turnover_ratio_20d,dist_to_high_20d,max_drawdown_20d,ma_gap_60d,volatility_20d,ret_20d",adx_14d,False,disabled
18,1,2018-01-02,2025-06-17,2025-07-16,2025-10-20,1807,63,40,"downside_vol_20d,ma_slope_5d,max_drawdown_20d,atr_pct_14d,volume_ratio_5d,intraday_range,high_low_range_20d,dist_to_high_20d,volatility_20d,max_drawdown_10d,rsi_6d,ma_gap_60d,ret_5d,adx_14d,downside_vol_5d,max_drawdown_60d,dist_to_high_60d,downside_vol_10d,downside_vol_60d,volatility_10d",downside_vol_20d,False,disabled
18,3,2018-01-02,2025-06-17,2025-07-16,2025-10-20,1807,63,40,"downside_vol_20d,atr_pct_14d,downside_vol_5d,downside_vol_10d,volatility_20d,intraday_range,high_low_range_20d,ma_slope_5d,volatility_10d,adx_14d,downside_vol_60d,max_drawdown_10d,max_drawdown_20d,log_ret_5d,volume_ratio_60d,max_drawdown_5d,dist_to_high_20d,volatility_5d,max_drawdown_60d,price_volume_divergence_20d",downside_vol_20d,False,disabled
18,5,2018-01-02,2025-06-17,2025-07-16,2025-10-20,1807,63,40,"downside_vol_20d,downside_vol_5d,atr_pct_14d,downside_vol_10d,adx_14d,max_drawdown_5d,high_low_range_20d,volatility_20d,volatility_10d,volatility_5d,intraday_range,max_drawdown_10d,downside_vol_60d,price_volume_divergence_20d,dist_to_high_20d,max_drawdown_20d,max_drawdown_60d,log_ret_5d,volume_ratio_60d,amount_chg_5d",downside_vol_20d,False,disabled
18,10,2018-01-02,2025-06-17,2025-07-16,2025-10-20,1807,63,40,"adx_14d,downside_vol_20d,high_low_range_20d,downside_vol_10d,volatility_10d,atr_pct_14d,intraday_range,downside_vol_5d,volatility_20d,turnover_ratio_20d,volatility_5d,volume_ratio_60d,max_drawdown_60d,downside_vol_60d,dist_to_low_20d,price_volume_divergence_20d,max_drawdown_10d,max_drawdown_5d,dist_to_high_20d,max_drawdown_20d",adx_14d,False,disabled
18,20,2018-01-02,2025-06-17,2025-07-16,2025-10-20,1807,63,40,"high_low_range_20d,adx_14d,downside_vol_20d,price_volume_divergence_20d,downside_vol_10d,atr_pct_14d,volatility_5d,volatility_10d,atr_14d,downside_vol_5d,intraday_range,downside_vol_60d,max_drawdown_60d,turnover_ratio_20d,ma_slope_20d,dist_to_high_20d,max_drawdown_20d,volatility_20d,ma_gap_60d,max_drawdown_5d",high_low_range_20d,False,disabled
19,1,2018-01-02,2025-09-12,2025-10-21,2026-01-19,1870,63,40,"downside_vol_20d,ma_slope_5d,volume_ratio_5d,max_drawdown_20d,log_ret_5d,rsi_6d,atr_pct_14d,dist_to_high_20d,intraday_range,adx_14d,ma_gap_60d,volatility_20d,high_low_range_20d,max_drawdown_10d,downside_vol_5d,dist_to_low_60d,volume_ratio_60d,turnover_ratio_20d,log_ret_1d,dist_to_high_60d",downside_vol_20d,False,disabled
19,3,2018-01-02,2025-09-12,2025-10-21,2026-01-19,1870,63,40,"downside_vol_20d,atr_pct_14d,downside_vol_5d,intraday_range,volatility_20d,adx_14d,downside_vol_10d,volume_ratio_60d,ma_slope_5d,volatility_10d,high_low_range_20d,log_ret_5d,turnover_ratio_20d,max_drawdown_10d,volume_ratio_5d,max_drawdown_5d,downside_vol_60d,volatility_5d,atr_14d,price_volume_divergence_20d",downside_vol_20d,False,disabled
19,5,2018-01-02,2025-09-12,2025-10-21,2026-01-19,1870,63,40,"adx_14d,downside_vol_20d,downside_vol_5d,atr_pct_14d,downside_vol_10d,max_drawdown_5d,volatility_20d,high_low_range_20d,volume_ratio_60d,volatility_5d,volatility_10d,intraday_range,max_drawdown_10d,price_volume_divergence_20d,log_ret_5d,turnover_ratio_20d,atr_14d,downside_vol_60d,ma_gap_5d,amount_chg_5d",adx_14d,False,disabled
19,10,2018-01-02,2025-09-12,2025-10-21,2026-01-19,1870,63,40,"adx_14d,volume_ratio_60d,turnover_ratio_20d,downside_vol_20d,high_low_range_20d,volatility_10d,downside_vol_10d,intraday_range,volatility_5d,downside_vol_5d,atr_pct_14d,volatility_20d,dist_to_low_20d,price_volume_divergence_20d,atr_14d,max_drawdown_5d,max_drawdown_10d,ma_slope_20d,downside_vol_60d,max_drawdown_60d",adx_14d,False,disabled
19,20,2018-01-02,2025-09-12,2025-10-21,2026-01-19,1870,63,40,"adx_14d,high_low_range_20d,atr_14d,turnover_ratio_20d,price_volume_divergence_20d,downside_vol_20d,volatility_5d,downside_vol_10d,volatility_10d,intraday_range,downside_vol_5d,volume_ratio_60d,ma_slope_20d,atr_pct_14d,dist_to_low_60d,ma_gap_60d,downside_vol_60d,volatility_20d,dist_to_low_20d,dist_to_high_20d",adx_14d,False,disabled
20,1,2018-01-02,2025-12-18,2026-01-20,2026-04-27,1933,63,40,"downside_vol_20d,ma_slope_5d,volume_ratio_5d,max_drawdown_20d,adx_14d,ret_5d,atr_pct_14d,high_low_range_20d,rsi_6d,dist_to_high_20d,volatility_20d,intraday_strength,downside_vol_5d,intraday_range,ma_gap_60d,volume_ratio_60d,dist_to_low_60d,log_ret_1d,max_drawdown_10d,turnover_ratio_20d",downside_vol_20d,False,disabled
20,3,2018-01-02,2025-12-18,2026-01-20,2026-04-27,1933,63,40,"downside_vol_20d,downside_vol_5d,adx_14d,atr_pct_14d,ma_slope_5d,volatility_20d,intraday_range,volume_ratio_60d,downside_vol_10d,ret_5d,high_low_range_20d,volatility_10d,max_drawdown_5d,max_drawdown_10d,turnover_ratio_20d,atr_14d,volume_ratio_5d,amount_chg_5d,max_drawdown_20d,price_volume_divergence_20d",downside_vol_20d,False,disabled
20,5,2018-01-02,2025-12-18,2026-01-20,2026-04-27,1933,63,40,"adx_14d,downside_vol_5d,max_drawdown_5d,downside_vol_20d,atr_pct_14d,downside_vol_10d,high_low_range_20d,volume_ratio_60d,volatility_20d,volatility_10d,log_ret_5d,amount_chg_5d,intraday_range,volatility_5d,max_drawdown_10d,ma_gap_5d,price_volume_divergence_20d,atr_14d,turnover_ratio_20d,dist_to_high_20d",adx_14d,False,disabled
20,10,2018-01-02,2025-12-18,2026-01-20,2026-04-27,1933,63,40,"adx_14d,volume_ratio_60d,turnover_ratio_20d,high_low_range_20d,downside_vol_20d,volatility_10d,intraday_range,downside_vol_10d,downside_vol_5d,volatility_5d,atr_pct_14d,atr_14d,dist_to_low_20d,volatility_20d,price_volume_divergence_20d,ma_slope_20d,max_drawdown_5d,max_drawdown_60d,max_drawdown_10d,amount_ratio_5d",adx_14d,False,disabled
20,20,2018-01-02,2025-12-18,2026-01-20,2026-04-27,1933,63,40,"adx_14d,atr_14d,turnover_ratio_20d,high_low_range_20d,price_volume_divergence_20d,ma_slope_20d,downside_vol_20d,volatility_5d,downside_vol_10d,dist_to_low_60d,ma_gap_60d,downside_vol_5d,intraday_range,volatility_10d,volume_ratio_60d,max_drawdown_60d,atr_pct_14d,log_ret_60d,downside_vol_60d,log_ret_20d",adx_14d,False,disabled
21,1,2018-01-02,2026-03-27,2026-04-28,2026-06-09,1996,28,40,"ma_slope_5d,volume_ratio_5d,rsi_6d,downside_vol_20d,ret_5d,dist_to_low_60d,ma_gap_60d,ret_60d,adx_14d,downside_vol_5d,volume_ratio_60d,turnover_ratio_20d,max_drawdown_20d,kdj_j,max_drawdown_10d,intraday_strength,log_ret_1d,atr_pct_14d,dist_to_high_20d,atr_14d",ma_slope_5d,False,disabled
21,3,2018-01-02,2026-03-27,2026-04-28,2026-06-09,1996,28,40,"downside_vol_5d,ma_slope_5d,adx_14d,log_ret_5d,downside_vol_20d,volume_ratio_60d,atr_pct_14d,volatility_20d,downside_vol_10d,amount_chg_5d,volatility_10d,atr_14d,intraday_range,max_drawdown_5d,turnover_ratio_20d,dist_to_low_60d,max_drawdown_10d,rsi_6d,log_ret_60d,ma_gap_60d",downside_vol_5d,False,disabled
21,5,2018-01-02,2026-03-27,2026-04-28,2026-06-09,1996,28,40,"adx_14d,downside_vol_5d,max_drawdown_5d,downside_vol_10d,volume_ratio_60d,atr_pct_14d,amount_chg_5d,downside_vol_20d,volatility_10d,ret_5d,atr_14d,ma_gap_5d,volatility_5d,log_ret_60d,volatility_20d,dist_to_low_60d,high_low_range_20d,turnover_ratio_20d,ma_slope_60d,max_drawdown_10d",adx_14d,False,disabled
21,10,2018-01-02,2026-03-27,2026-04-28,2026-06-09,1996,28,40,"adx_14d,turnover_ratio_20d,volume_ratio_60d,atr_14d,volatility_10d,volatility_5d,intraday_range,downside_vol_5d,dist_to_low_20d,high_low_range_20d,downside_vol_10d,ret_60d,downside_vol_20d,ma_slope_20d,macd_hist,dist_to_low_60d,ma_slope_60d,kdj_d,volatility_20d,close_zscore_20d",adx_14d,False,disabled
21,20,2018-01-02,2026-03-27,2026-04-28,2026-06-09,1996,28,40,"atr_14d,adx_14d,turnover_ratio_20d,ma_slope_20d,dist_to_low_60d,price_volume_divergence_20d,high_low_range_20d,ma_gap_60d,ret_60d,volatility_5d,volume_ratio_60d,max_drawdown_60d,volatility_60d,intraday_range,macd_dea,macd_hist,downside_vol_5d,volatility_10d,amount_ratio_5d,amount_chg_5d",atr_14d,False,disabled
