portfolio,total_return,annual_return,annual_volatility,sharpe,sortino,calmar,max_drawdown,win_rate,profit_loss_ratio,trade_count,avg_holding_days,turnover,single_period_max_loss,max_consecutive_losses,excess_total_return,excess_vs_buy_hold
strategy,-0.012210024042341505,-0.0015134646371377514,0.1734406190870713,-0.008726125662512518,-0.008468353890341259,-0.00288012720583255,-0.5254853445614596,0.39765319426336376,1.5515655481564068,279.0,3.419512195121951,113.5,-0.08307264511644075,9.0,-0.9720101032680729,-2.323685433878423
strategy_before_cost,0.14472236288836315,0.016803440171663908,0.17352696992806707,0.09683474666001207,0.09167923756453401,0.03498159977252548,-0.4803508210296693,0.443001443001443,1.3310051558060694,279.0,3.419512195121951,113.5,-0.08307264511644075,8.0,,-2.1667530469477185
buy_hold_300316,2.3114754098360817,0.1590768823690032,0.5788986536988933,0.27479228247047366,0.4589658449948599,0.21293836497906482,-0.7470559961547697,0.4792490118577075,1.1957724626437949,,,,-0.16675690308608548,9.0,,0.0
cash,0.0,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,-2.3114754098360817
