factor,regime,rank_ic,count
ma_gap_120d,strong_trend_high,-0.0221049233737358,960
ma_slope_120d,high_vol_low,0.07508995628801082,951
ma_slope_120d,high_vol_high,-0.10077616591223225,950
ma_slope_120d,strong_trend_low,-0.029163431039430886,951
ma_slope_120d,strong_trend_high,-0.023667861517402286,950
trend_consistency_20d,high_vol_low,0.07848813417702935,1010
trend_consistency_20d,high_vol_high,-0.004824343262347304,1009
trend_consistency_20d,strong_trend_low,0.07935205408500047,1010
trend_consistency_20d,strong_trend_high,-0.0028289073438415545,1010
trend_consistency_60d,high_vol_low,0.14597703044946544,990
trend_consistency_60d,high_vol_high,-0.032015778107687846,990
trend_consistency_60d,strong_trend_low,0.06259424912015056,990
trend_consistency_60d,strong_trend_high,0.030105167384542275,990
dist_to_high_20d,high_vol_low,-0.029520537084290723,1010
dist_to_high_20d,high_vol_high,-0.019356352401782965,1009
dist_to_high_20d,strong_trend_low,-0.07733071915865873,1010
dist_to_high_20d,strong_trend_high,-0.05589019168430372,1009
dist_to_low_20d,high_vol_low,0.043653417840374666,1010
dist_to_low_20d,high_vol_high,-0.0038037178031426473,1009
dist_to_low_20d,strong_trend_low,0.04198880138326948,1010
dist_to_low_20d,strong_trend_high,-0.017817616324444063,1009
dist_to_high_60d,high_vol_low,-0.007341540789584673,990
dist_to_high_60d,high_vol_high,-0.024784406982527294,989
dist_to_high_60d,strong_trend_low,-0.10326768322786128,990
dist_to_high_60d,strong_trend_high,0.028993086138665986,989
dist_to_low_60d,high_vol_low,0.00578478412073688,990
dist_to_low_60d,high_vol_high,-0.15945594316804484,989
dist_to_low_60d,strong_trend_low,-0.06851141906093007,990
dist_to_low_60d,strong_trend_high,-0.05780511649873023,989
dist_to_high_120d,high_vol_low,0.013432490668196828,960
dist_to_high_120d,high_vol_high,-0.026604771119006308,959
dist_to_high_120d,strong_trend_low,-0.09381537805696727,960
dist_to_high_120d,strong_trend_high,0.02566729567571167,959
dist_to_low_120d,high_vol_low,0.09559493690252598,960
dist_to_low_120d,high_vol_high,-0.1549435362135024,959
dist_to_low_120d,strong_trend_low,0.015463048315583058,960
dist_to_low_120d,strong_trend_high,-0.05562175599344717,959
dist_to_high_250d,high_vol_low,0.03962852600474018,895
dist_to_high_250d,high_vol_high,-0.06857150191578655,894
dist_to_high_250d,strong_trend_low,-0.010114293423015893,895
dist_to_high_250d,strong_trend_high,-0.04793369799558997,894
dist_to_low_250d,high_vol_low,0.0984273767410478,895
dist_to_low_250d,high_vol_high,-0.07765422182339683,894
dist_to_low_250d,strong_trend_low,0.06353192482195592,895
dist_to_low_250d,strong_trend_high,-0.05231856101435724,894
macd_dif,high_vol_low,0.021721065919839525,1010
macd_dif,high_vol_high,-0.06772921266498666,1009
macd_dif,strong_trend_low,-0.06506929344958623,1010
macd_dif,strong_trend_high,-0.03014994002329187,1010
macd_dea,high_vol_low,0.022358488036091317,1010
macd_dea,high_vol_high,-0.08141105655636213,1009
macd_dea,strong_trend_low,-0.08346112524058819,1010
macd_dea,strong_trend_high,-0.010560105233819483,1010
macd_hist,high_vol_low,-0.02001564029909386,1010
macd_hist,high_vol_high,0.05306598431729302,1009
macd_hist,strong_trend_low,0.05426122766978515,1010
macd_hist,strong_trend_high,-0.06718210102619049,1010
kdj_k,high_vol_low,0.0037638688126164113,1010
kdj_k,high_vol_high,-0.0262100032426515,1009
kdj_k,strong_trend_low,0.006806677772403033,1010
kdj_k,strong_trend_high,-0.11405023834029854,1010
kdj_d,high_vol_low,0.005805254836506404,1010
kdj_d,high_vol_high,0.00670005455117962,1009
kdj_d,strong_trend_low,0.01141422127790696,1010
kdj_d,strong_trend_high,-0.057063216813091996,1010
kdj_j,high_vol_low,0.011551755911402077,1010
kdj_j,high_vol_high,-0.057827363580894714,1009
kdj_j,strong_trend_low,0.004260081595808314,1010
kdj_j,strong_trend_high,-0.13213589176495752,1010
adx_14d,high_vol_low,0.10562218968780594,1007
adx_14d,high_vol_high,0.0825761198299935,1006
adx_14d,strong_trend_low,0.12930919862589374,1007
adx_14d,strong_trend_high,0.06148191588237304,1006
rsi_6d,high_vol_low,0.007057328944809737,997
rsi_6d,high_vol_high,-0.037320157531657336,997
rsi_6d,strong_trend_low,0.006360621890747666,998
rsi_6d,strong_trend_high,-0.10256253930453411,997
rsi_14d,high_vol_low,0.002894984072352234,1010
rsi_14d,high_vol_high,-0.011110595718449467,1009
rsi_14d,strong_trend_low,-0.0055299758855084195,1010
rsi_14d,strong_trend_high,-0.0679557322728996,1010
short_reversal_3d,high_vol_low,0.037613577102762794,1010
short_reversal_3d,high_vol_high,0.05942931237909495,1009
short_reversal_3d,strong_trend_low,0.07107956045547216,1010
short_reversal_3d,strong_trend_high,0.05809983244665659,1010
short_reversal_5d,high_vol_low,0.0307166168175931,1010
short_reversal_5d,high_vol_high,0.06982009222315753,1009
short_reversal_5d,strong_trend_low,0.056755796611304976,1010
short_reversal_5d,strong_trend_high,0.10925976315244366,1010
consecutive_up_days,high_vol_low,0.029437021208359206,1010
consecutive_up_days,high_vol_high,-0.046072384865943464,1009
consecutive_up_days,strong_trend_low,0.008099315447284145,1010
consecutive_up_days,strong_trend_high,-0.039916837890218604,1010
consecutive_down_days,high_vol_low,-0.035391820840689,1010
consecutive_down_days,high_vol_high,0.037750727784841724,1009
consecutive_down_days,strong_trend_low,-0.01244987436923432,1010
consecutive_down_days,strong_trend_high,0.02926820660260757,1010
boll_pos_20d,high_vol_low,0.006423272895499106,1010
boll_pos_20d,high_vol_high,-0.003575266164393341,1009
boll_pos_20d,strong_trend_low,-0.005082581851229069,1010
boll_pos_20d,strong_trend_high,-0.05337963130659543,1010
close_zscore_20d,high_vol_low,0.006423272895499106,1010
close_zscore_20d,high_vol_high,-0.003575266164393341,1009
close_zscore_20d,strong_trend_low,-0.005082581851229069,1010
close_zscore_20d,strong_trend_high,-0.05337963130659543,1010
close_zscore_60d,high_vol_low,0.019390415940356304,990
close_zscore_60d,high_vol_high,-0.0356287397545365,990
close_zscore_60d,strong_trend_low,-0.07012931646679144,990
close_zscore_60d,strong_trend_high,0.00980386458188855,990
volume_ratio_5d,high_vol_low,0.028472757725640663,1010
volume_ratio_5d,high_vol_high,-0.04528104493742315,1009
volume_ratio_5d,strong_trend_low,0.007643521423174165,1010
volume_ratio_5d,strong_trend_high,-0.034172624834422016,1010
amount_ratio_5d,high_vol_low,0.026786014042376145,1010
amount_ratio_5d,high_vol_high,-0.04976466120959399,1009
amount_ratio_5d,strong_trend_low,0.00494581585861696,1010
amount_ratio_5d,strong_trend_high,-0.04005709172307453,1010
volume_ratio_20d,high_vol_low,0.0867365261257549,1010
volume_ratio_20d,high_vol_high,0.008553604871096673,1009
volume_ratio_20d,strong_trend_low,0.04441709279886779,1010
volume_ratio_20d,strong_trend_high,0.033970466231989384,1010
amount_ratio_20d,high_vol_low,0.080330881105803,1010
amount_ratio_20d,high_vol_high,0.010504224755824772,1009
amount_ratio_20d,strong_trend_low,0.04519481580424833,1010
amount_ratio_20d,strong_trend_high,0.024326026373911545,1010
volume_ratio_60d,high_vol_low,0.08127811578218119,990
volume_ratio_60d,high_vol_high,0.04223676138480738,990
volume_ratio_60d,strong_trend_low,0.03572447407902385,990
volume_ratio_60d,strong_trend_high,0.0781893393202777,990
amount_ratio_60d,high_vol_low,0.08351458744102754,990
amount_ratio_60d,high_vol_high,0.019198914662476675,990
amount_ratio_60d,strong_trend_low,0.016210712468257192,990
amount_ratio_60d,strong_trend_high,0.06482946403742902,990
amount_chg_1d,high_vol_low,0.015776121671126096,1010
amount_chg_1d,high_vol_high,-0.004477424940640684,1009
amount_chg_1d,strong_trend_low,0.01594241896057333,1010
amount_chg_1d,strong_trend_high,-0.00836850658520845,1010
amount_chg_5d,high_vol_low,-0.019652285932760225,1010
amount_chg_5d,high_vol_high,-0.08457864690300973,1009
amount_chg_5d,strong_trend_low,-0.045481345945551324,1010
amount_chg_5d,strong_trend_high,-0.07587572458024751,1010
turnover_chg_1d,high_vol_low,5.263429232695349e-05,1010
turnover_chg_1d,high_vol_high,-0.010361091018007106,1009
turnover_chg_1d,strong_trend_low,0.01525932496558914,1010
turnover_chg_1d,strong_trend_high,-0.025934721766046605,1010
turnover_chg_5d,high_vol_low,-0.030155438162443916,1010
turnover_chg_5d,high_vol_high,-0.0912836823340022,1009
turnover_chg_5d,strong_trend_low,-0.04332125283072315,1010
turnover_chg_5d,strong_trend_high,-0.0894379171128677,1010
turnover_ratio_20d,high_vol_low,0.08678392574036856,1010
turnover_ratio_20d,high_vol_high,0.01454077445100529,1009
turnover_ratio_20d,strong_trend_low,0.04943926728881284,1010
turnover_ratio_20d,strong_trend_high,0.0341529938571656,1010
price_volume_divergence_20d,high_vol_low,-0.04317319463431229,1010
price_volume_divergence_20d,high_vol_high,-0.0518257379533474,1009
price_volume_divergence_20d,strong_trend_low,-0.06654117738974943,1010
price_volume_divergence_20d,strong_trend_high,-0.0367492495858014,1009
amihud_illiquidity_20d,high_vol_low,0.05302865042248521,1010
amihud_illiquidity_20d,high_vol_high,0.10820282332545383,1009
amihud_illiquidity_20d,strong_trend_low,0.08721837878011181,1010
amihud_illiquidity_20d,strong_trend_high,0.0913993615277029,1009
volatility_5d,high_vol_low,0.04343836400503119,1010
volatility_5d,high_vol_high,0.06819017501918864,1009
volatility_5d,strong_trend_low,0.06802941404693669,1010
volatility_5d,strong_trend_high,0.04252746355537083,1010
realized_vol_5d,high_vol_low,0.04343836400503119,1010
realized_vol_5d,high_vol_high,0.06819017501918864,1009
realized_vol_5d,strong_trend_low,0.06802941404693669,1010
realized_vol_5d,strong_trend_high,0.04252746355537083,1010
downside_vol_5d,high_vol_low,0.09374163684116177,1010
downside_vol_5d,high_vol_high,0.0916949889642601,1009
downside_vol_5d,strong_trend_low,0.09416177428794756,1010
downside_vol_5d,strong_trend_high,0.10894013062171659,1010
max_drawdown_5d,high_vol_low,-0.05490941880633261,1010
max_drawdown_5d,high_vol_high,-0.09867999827027267,1009
max_drawdown_5d,strong_trend_low,-0.10514798524466216,1010
max_drawdown_5d,strong_trend_high,-0.09864058733527202,1010
vol_percentile_5d_252d,high_vol_low,-0.073227270861883,892
vol_percentile_5d_252d,high_vol_high,0.025744702614059447,891
vol_percentile_5d_252d,strong_trend_low,0.00174251502510033,892
vol_percentile_5d_252d,strong_trend_high,0.007139966953759783,891
volatility_10d,high_vol_low,0.05326657724222632,1010
volatility_10d,high_vol_high,0.09566100768353887,1009
volatility_10d,strong_trend_low,0.06796337483006308,1010
volatility_10d,strong_trend_high,0.04669899822183825,1010
realized_vol_10d,high_vol_low,0.05326657724222632,1010
realized_vol_10d,high_vol_high,0.09566100768353887,1009
realized_vol_10d,strong_trend_low,0.06796337483006308,1010
realized_vol_10d,strong_trend_high,0.04669899822183825,1010
downside_vol_10d,high_vol_low,0.06669705803949805,1010
downside_vol_10d,high_vol_high,0.07816959981429664,1009
downside_vol_10d,strong_trend_low,0.08237826991933749,1010
downside_vol_10d,strong_trend_high,0.05074877310671792,1010
max_drawdown_10d,high_vol_low,-0.03673876910244239,1010
max_drawdown_10d,high_vol_high,-0.04317563881793467,1009
max_drawdown_10d,strong_trend_low,-0.04537822094271825,1010
max_drawdown_10d,strong_trend_high,-0.06933722302926955,1010
vol_percentile_10d_252d,high_vol_low,-0.06450879313687835,889
vol_percentile_10d_252d,high_vol_high,0.030424839067642054,889
vol_percentile_10d_252d,strong_trend_low,2.4577894835372344e-05,889
vol_percentile_10d_252d,strong_trend_high,0.008761259683562412,889
volatility_20d,high_vol_low,0.047106150122354175,1010
volatility_20d,high_vol_high,0.07686862870002376,1009
volatility_20d,strong_trend_low,0.07301941316836733,1010
volatility_20d,strong_trend_high,0.015793298076426328,1009
realized_vol_20d,high_vol_low,0.047106150122354175,1010
realized_vol_20d,high_vol_high,0.07686862870002376,1009
realized_vol_20d,strong_trend_low,0.07301941316836733,1010
realized_vol_20d,strong_trend_high,0.015793298076426328,1009
downside_vol_20d,high_vol_low,0.08682195388890702,1010
downside_vol_20d,high_vol_high,0.07009586452523704,1009
downside_vol_20d,strong_trend_low,0.08639065794371192,1010
downside_vol_20d,strong_trend_high,0.032244681709281714,1010
max_drawdown_20d,high_vol_low,-0.015448185690854127,1010
max_drawdown_20d,high_vol_high,-0.00873446815379249,1009
max_drawdown_20d,strong_trend_low,-0.06742408769083254,1010
max_drawdown_20d,strong_trend_high,0.007485957491233956,1010
vol_percentile_20d_252d,high_vol_low,-0.0715828712096744,884
vol_percentile_20d_252d,high_vol_high,-0.013269584282589916,884
vol_percentile_20d_252d,strong_trend_low,0.02125617706788239,884
vol_percentile_20d_252d,strong_trend_high,-0.04144155107106091,884
volatility_60d,high_vol_low,0.06081131507216016,990
volatility_60d,high_vol_high,-0.10909468423650287,989
volatility_60d,strong_trend_low,0.039184198798421326,990
volatility_60d,strong_trend_high,-0.07595346988736831,989
realized_vol_60d,high_vol_low,0.06081131507216016,990
realized_vol_60d,high_vol_high,-0.10909468423650287,989
realized_vol_60d,strong_trend_low,0.039184198798421326,990
realized_vol_60d,strong_trend_high,-0.07595346988736831,989
downside_vol_60d,high_vol_low,0.07257898978164834,990
downside_vol_60d,high_vol_high,0.0021387009387820633,990
downside_vol_60d,strong_trend_low,0.08430607063103336,990
downside_vol_60d,strong_trend_high,-0.010790758726558483,990
max_drawdown_60d,high_vol_low,-0.002666542751134912,990
max_drawdown_60d,high_vol_high,-0.06703413216579927,990
max_drawdown_60d,strong_trend_low,-0.09585151707949593,990
max_drawdown_60d,strong_trend_high,0.003547230899832088,990
vol_percentile_60d_252d,high_vol_low,-0.06128058353489348,864
vol_percentile_60d_252d,high_vol_high,-0.13895216270556096,864
vol_percentile_60d_252d,strong_trend_low,-0.029939549225505405,864
vol_percentile_60d_252d,strong_trend_high,-0.1093694214126665,864
atr_14d,high_vol_low,-0.021210487583685562,1010
atr_14d,high_vol_high,-0.08331986134499957,1009
atr_14d,strong_trend_low,-0.03578849860785934,1010
atr_14d,strong_trend_high,-0.07793446286716114,1010
atr_pct_14d,high_vol_low,0.1177708814691923,1010
