entry_date,entry_price,entry_index,entry_position,exit_date,exit_price,holding_days,trade_return,max_adverse_return,max_favorable_return
2021-03-12,31.49,774,0.25,2021-06-11,42.88,61,0.2875085559574233,-0.0765322324547475,0.33852016513178795
2021-06-15,41.82,836,0.5,2021-06-22,46.86,5,0.08636598867540801,-0.05571496891439498,0.14275466284074612
2021-06-23,45.75,842,0.75,2021-06-24,46.41,1,0.008855875573770655,-0.013333333333333308,0.0030601092896174187
2021-06-25,44.58,844,0.5,2021-06-28,45.1,1,0.004527322763571151,0.01166442350829966,0.014131897711978425
2021-11-17,72.09,940,0.5,2021-11-18,71.91,1,-0.0025469558551810545,-0.03481758912470534,-0.0009710084616452175
2021-11-25,65.64,946,0.75,2021-12-02,66.51,5,0.030985265483900237,-0.01218769043266299,0.06413772090188896
2021-12-06,68.38,953,0.75,2021-12-09,68.9,3,-0.010820426122019389,-0.034366773910500026,0.0076045627376426506
2021-12-10,68.31,957,0.25,2021-12-14,72.36,2,0.014473229773859675,0.04918752744839705,0.07319572536963848
2021-12-15,70.82,960,0.25,2022-01-04,67.52,13,-0.03806297892978627,-0.1153628918384636,-0.0009884213499010697
2022-01-05,63.22,974,0.75,2022-02-14,51.16,23,-0.13887716926750204,-0.17652641569123695,-0.037171781081936084
2022-02-15,53.22,998,0.75,2022-04-11,52.35,37,-0.029291281529844393,-0.04885381435550551,0.1841413002630592
2022-04-12,50.63,1036,0.75,2022-04-26,43.0,10,-0.11554025589147587,-0.1694647442227929,0.04127987359273155
2022-04-27,41.42,1047,0.75,2022-04-28,44.75,1,0.058266367098020355,0.09415741187831972,0.12530178657653313
2022-05-24,54.52,1063,0.75,2022-08-18,74.4,61,0.27772532322873444,-0.04420396184886288,0.509721203228173
2022-08-19,83.22,1125,0.25,2022-09-16,71.27,19,-0.07057378825858796,-0.14323479932708483,-0.021749579428022137
2022-09-19,72.11,1145,0.75,2022-10-12,63.3,12,-0.09444102899289353,-0.12134239356538623,-0.0004160310636527331
2022-10-13,64.39,1158,0.75,2022-11-29,63.58,33,-0.02341200214996031,-0.02236372107470097,0.18030750116477723
2022-11-30,62.89,1192,0.75,2022-12-20,67.67,14,0.0595724198947396,-0.01383367785021461,0.09842582286532031
2022-12-21,66.8,1207,0.5,2023-03-24,60.5,61,-0.048314110750133143,-0.12499999999999989,0.017964071856287456
2023-03-27,60.56,1269,0.75,2023-06-28,67.05,61,-0.021788757593928287,-0.0034676354029061773,0.18626155878467632
2023-06-29,68.19,1331,0.5,2023-07-25,61.49,18,-0.09943969531486974,-0.10441413697023016,0.021410764041648545
2023-07-26,61.47,1350,1.0,2023-08-17,55.33,16,-0.10582479887024221,-0.10297706198145429,0.004555067512607813
2023-08-18,55.44,1367,1.0,2023-09-15,50.5,20,-0.09425730276190492,-0.10263347763347763,0.010101010101010166
2023-09-28,47.4,1396,0.5,2023-10-24,41.15,12,-0.1096265677688768,-0.13185654008438819,-0.009282700421940904
2023-10-25,41.57,1409,0.75,2023-11-10,45.35,12,0.06515955501910775,-0.03295645898484478,0.09935049314409428
2023-11-15,45.35,1424,0.25,2023-11-23,41.75,6,-0.020881529533286036,-0.08158765159867698,-0.005733186328555684
2023-11-28,40.42,1433,0.5,2023-12-06,39.54,6,-0.011894184918350592,-0.019049975259772478,0.043542800593765474
2023-12-07,39.49,1440,0.5,2023-12-15,39.34,6,0.003811601459895453,-0.027601924537857814,0.032160040516586275
2023-12-18,39.54,1447,0.5,2023-12-19,39.27,1,-0.004710831198785903,-0.008851795649974736,-0.002023267577137
2023-12-20,39.45,1449,0.25,2023-12-21,38.59,1,-0.006097394157160929,-0.019771863117870714,0.016476552598225558
2024-01-10,37.63,1463,0.25,2024-01-11,38.46,1,0.004861825981929302,0.02391708743024168,0.025511559925591287
2024-01-25,35.76,1474,0.25,2024-01-29,35.55,2,-0.0018899228672096813,-0.05313199105145405,0.03831096196868011
2024-01-31,32.28,1478,0.25,2024-03-27,34.11,34,0.0985242284247767,-0.07372986369268908,0.17100371747211884
2024-04-10,32.53,1520,0.25,2024-04-11,31.3,1,-0.010098469022440826,-0.040885336612357825,-0.03135567168767295
2024-04-16,31.15,1524,0.75,2024-05-22,31.77,23,0.04310307331302288,-0.0786516853932584,0.086677367576244
2024-05-23,33.46,1548,0.5,2024-06-03,31.45,7,-0.02719413777947821,-0.06455469216975496,-0.014345487148834546
2024-06-21,30.85,1568,0.25,2024-06-24,30.05,1,-0.007129974829821695,-0.04700162074554304,-0.01620745542949753
2024-07-23,29.54,1590,0.5,2024-07-25,27.85,2,-0.030035746112884287,-0.0511171293161814,-0.030128639133378488
2024-07-26,28.55,1593,0.5,2024-07-31,27.69,3,-0.016307718341078803,-0.029772329246935292,0.02732049036777573
2024-08-01,29.17,1597,0.5,2024-08-02,28.9,1,-0.005923517271169132,-0.030510798765855385,-0.007541995200548546
2024-08-06,27.5,1600,0.5,2024-08-12,27.69,4,0.0022365810596083335,-0.01018181818181818,0.024363636363636365
2024-08-16,26.38,1608,0.5,2024-08-23,22.74,5,-0.07371343241136452,-0.1432903714935556,-0.0026535253980287665
2024-08-26,22.6,1614,0.25,2024-09-30,28.28,23,0.11028942944296571,-0.07743362831858402,0.4088495575221238
2025-01-15,28.96,1708,0.25,2025-01-17,29.57,2,0.004594283114579323,0.004834254143646355,0.07976519337016574
2025-02-05,30.06,1717,0.25,2025-02-06,30.05,1,-0.0007330395741849127,-0.0023286759813706537,0.04291417165668676
2025-02-10,31.87,1720,0.25,2025-02-11,31.4,1,-0.004335103755883307,-0.027925949168497,-0.010668340131785414
2025-02-25,31.9,1731,0.25,2025-03-19,34.55,16,0.02414877247078251,0.0015673981191222097,0.09404388714733547
2025-03-20,34.11,1748,0.25,2025-03-21,33.8,1,-0.0029209485517442957,-0.027557900908824373,-0.007622398123717344
2025-04-10,28.45,1762,0.25,2025-04-11,27.97,1,-0.004865938119507862,-0.008787346221441172,0.030579964850615093
2025-04-14,29.59,1764,0.25,2025-04-15,29.05,1,-0.00521020908752956,-0.026022304832713727,-0.0168976005407232
2025-04-21,26.63,1769,0.25,2025-04-22,27.73,1,0.009672142196770706,0.04693954187007132,0.06083364626361254
2025-07-09,27.91,1822,0.25,2025-07-10,27.7,1,-0.002530109749193765,-0.00788247939806519,0.006091006807595667
2025-07-30,29.02,1837,0.25,2025-07-31,28.5,1,-0.005127563342522401,-0.044452101998621596,-0.015506547208821497
2025-08-04,28.15,1840,0.25,2025-08-05,27.97,1,-0.002247769680284173,-0.009591474245115417,-0.004618117229129637
2025-08-12,28.51,1846,0.5,2025-08-13,28.55,1,-0.0005987631146966432,0.0031567870922484254,0.007716590669940349
2025-08-19,29.64,1851,0.25,2025-08-20,29.56,1,-0.0013243701889338322,-0.0026990553306343035,0.018893387314439902
2025-08-21,30.08,1853,0.25,2025-08-22,29.77,1,-0.003225213357712753,-0.00465425531914887,0.007978723404255428
2025-08-26,29.64,1856,0.5,2025-09-04,29.79,7,0.0034153024118772635,-0.01585695006747634,0.030026990553306376
2025-09-05,29.4,1864,0.5,2025-09-08,35.82,1,0.10778576816326546,0.17482993197278907,0.18537414965986398
2025-09-10,33.46,1867,0.5,2025-09-11,34.06,1,0.007658220131500304,0.028093245666467315,0.06903765690376584
2025-09-15,35.86,1870,0.5,2025-09-17,38.34,2,0.03306612903748829,0.05744562186279989,0.08198549916341324
2025-09-19,38.35,1874,0.5,2025-09-22,38.48,1,0.0003937498305084386,0.0031290743155150125,0.025814863102998853
2025-09-23,39.35,1876,0.5,2025-09-24,37.65,1,-0.022881215603557936,-0.03583227445997472,-0.025921219822109376
2025-10-13,40.85,1884,0.25,2025-10-14,43.35,1,0.014643082656058848,0.05703794369645032,0.059730722154222704
2025-10-15,42.59,1886,0.75,2025-10-17,40.63,2,-0.021090921815921426,-0.11810284104249824,-0.01385301714017384
2025-11-17,39.39,1909,0.5,2025-11-20,35.83,3,-0.041425838141296745,-0.10510281797410514,-0.03021071337903014
2025-12-16,34.51,1930,0.25,2025-12-23,37.05,5,0.019217239143274112,-0.032164589973920577,0.09910170964937715
2026-01-12,37.88,1947,0.25,2026-01-13,39.85,1,0.012345823236536546,0.024023231256599775,0.07629355860612463
2026-01-14,38.77,1949,0.5,2026-01-26,49.77,8,0.1377187780376623,-0.008769667268506698,0.3342790817642505
2026-01-27,45.36,1958,0.25,2026-01-29,45.06,2,-0.0020739661959569,-0.006613756613756516,0.03108465608465627
2026-04-24,43.22,2014,0.5,2026-04-29,39.85,3,-0.033499787564519545,-0.0714946783896343,0.003933364183248633
2026-05-22,54.91,2031,0.25,2026-05-26,54.55,2,-0.0022528930109838585,-0.020214897104352536,0.027135312329266137
2026-05-28,53.0,2035,0.25,2026-05-29,55.22,1,0.009817075849056778,-0.04113207547169806,0.03566037735849048
2026-06-01,51.39,2037,0.25,2026-06-02,47.98,1,-0.01723127553804238,-0.08542517999610821,-0.07277680482584159
